,Text,Class Name
0," (Graham Toal)Re: Do we need the clipper for cheap security? Lines: 24  	 (Graham Toal) writes: 	> 	>In the UK, it's impossible to get approval to attach any crypto device 	>to the phone network.  (Anything that plugs in to our BT phone sockets 	>must be approved - for some reason crypto devices just never are...) 	>  	Whats the difference between a V.32bis modem and a V.32bis modem?  	I'm not being entirely silly here: what I'm pointing out is that the 	modems that they have already approved for data transmission will work 	just fine to transmit scrambled vocoded voice.  Absolutely.  I just meant that no secure *dedicated* crypto device has ever been given approval.  Guerrilla underground devices should be well possible with today's high-speed modems (not that I can think of many v32bis modems that are approved either mind you - just the overpriced Couriers)  Can someone tell me if hardware compression is or is not needed to run digital speech down 14.4K?  I think it is; I've heard it's not.  Lets say 8 bit samples.  Would *raw* data at the corresponding sampling rate be usable?  If not, how fancy does the compression need to be?  G ",sci.crypt
1," (Graham Toal)Let's build software cryptophones for over the internet... Lines: 92  Well, after a lot of trawling through archives, I found the post I reproduce in full below.  Is it time to get together to develop a tcp/ip standard for crypto voice that we could then layer on point-to-point SLIP as *the* free standard for crypto voice like pgp is for mail?  (PS Note the date of this post.  Appropriate, huh? :-) )  --- From  Thu Jul  9 11:50:11 1992  (Joe Campbell) Newsgroups: comp.compression.researchRe: sound compression algorithms Date: 4 Jul 92 14:46:04 GMT Organization: The Great Beyond  In article <>  (Lou Fernandez) writes: >The techniques for production systems revolve around Code Excited Linear >Prediction (CELP) algorithms which capture 20 ms or so of speech and >attempt to match the speech with a combination of signals from a >codebook, choosing the combination which minimizes the error....  In case you'd like to experiment with CELP, you can obtain a software implementation of the 4800 bps Fed Std CELP coder for free:  The U.S. DoD's Federal-Standard-1016 based 4800 bps code excited linear prediction voice coder version 3.2 (CELP 3.2) Fortran and C simulation source codes are now available for worldwide distribution at no charge (on DOS diskettes, but configured to compile on Sun SPARC stations) from:  Bob Fenichel National Communications System Washington, D.C.  20305 1-703-692-2124 1-703-746-4960 (fax)  In addition to the source codes, example input and processed speech files are included along with a technical information bulletin to assist in implementation of FS-1016 CELP.  (An anonymous ftp site is being considered for future releases.)  Copies of the actual standard ""Federal Standard 1016, Telecommunications: Analog to Digital Conversion of Radio Voice by 4,800 bit/second Code Excited Linear Prediction (CELP)"" are available for $2.50 each from:  GSA Rm 6654 7th & D St SW Washington, D.C.  20407 1-202-708-9205  The following articles describe the Federal-Standard-1016 4.8-kbps CELP coder (it's unnecessary to read more than one):  Campbell, Joseph P. Jr., Thomas E. Tremain and Vanoy C. Welch, ""The Federal Standard 1016 4800 bps CELP Voice Coder,"" Digital Signal Processing, Academic Press, 1991, Vol. 1, No. 3, p. 145-155.  Campbell, Joseph P. Jr., Thomas E. Tremain and Vanoy C. Welch, ""The DoD 4.8 kbps Standard (Proposed Federal Standard 1016),"" in Advances in Speech Coding, ed. Atal, Cuperman and Gersho, Kluwer Academic Publishers, 1991, Chapter 12, p. 121-133.  Campbell, Joseph P. Jr., Thomas E. Tremain and Vanoy C. Welch, ""The Proposed Federal Standard 1016 4800 bps Voice Coder:  CELP,"" Speech Technology Magazine, April/May 1990, p. 58-64.  For U.S. FED-STD-1016 (4800 bps CELP) _realtime_ DSP code and information about products using this code, contact:  John DellaMorte DSP Software Engineering 165 Middlesex Tpk, Suite 206 Bedford, MA  01730 1-617-275-3733 1-617-275-4323 (fax)   DSP Software Engineering's code can run on a DSP Research's Tiger 30 board (a PC board with a TMS320C3x and analog interface suited to development work) or on Intellibit's AE2000 TMS320C31 based 3"" by 2.5"" card.  DSP Research                Intellibit 1095 E. Duane Ave.          P.O. Box 9785 Sunnyvale, CA  94086        McLean, VA  22102-0785 (408)773-1042               (703)442-4781 (408)736-3451 (fax)         (703)442-4784 (fax) --  ............................................................................. ; Joe Campbell  N3JBC     ; ; My opinions are mine!   Happiness = Reality - Expectations, Click & Clack ; ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  ",sci.crypt
2," (technopagan priest)Re: Would ""clipper"" make a good cover for other encryption method? Nntp-Posting-Host: rac2.wam.umd.edu Organization: University of Maryland, College Park Lines: 11  In article <>  (Carl M. Kadie) writes: >Clipper might be a good way to cover the use of another layer of >encryption.  True, but will traditional encryptions schemes, when further encrypted by Clipper, be _more_ vulnerable to attacks such as partially known plaintext?  -Thomas   ",sci.crypt
3," (Vesselin Bontchev)Re: Once tapped, your code is no good any more. Reply-To:  Organization: Virus Test Center, University of Hamburg Distribution: na Lines: 33   (Marc Anderson) writes:  > methods.  ``This year's crime bill will have teeth, not bare gums,'' > Clinton said.  In particular, his administration will place strict > controls on data formats and protocols, and require the registration > of so-called ``cryptographic keys,'' in the hope of denying drug > dealers the ability to communicate in secret.  Clinton said the > approach could be used for crackdowns on other forms of underground > economic activity, such as ``the deficit-causing tax evaders who > live in luxury at the expense of our grandchildren.''  And some people thought that I am exaggerating when claiming that the Cripple Chip is just a first step in a totalitarian plot against the civil liberties in the USA... It seems that I've even been an optimist - the things are happening even faster than I expected.... That's another of the dirty tricks they used to apply on us under the communist regime - do something secret, THEN tell the people about is (after the fact, when nothing can be done any more), and of course, explaining them how much better the situation is now...  In my previous messages I wrote that the Americans should wake up and fight against the new proposal. Now it seems to me that it is already too late - it has already happened, the civil liberties have been violated, no, stollen from the American people, while the most part of this people has been sleeping happily... :-((( Too sad...  Regards, Vesselin --  Vesselin Vladimirov Bontchev          Virus Test Center, University of Hamburg Tel.:+49-40-54715-224, Fax: +49-40-54715-226      Fachbereich Informatik - AGN < PGP 2.2 public key available on request. > Vogt-Koelln-Strasse 30, rm. 107 C e-mail:     D-2000 Hamburg 54, Germany ",sci.crypt
4," (Phil G. Fraering)Re: Once tapped, your code is no good any more. Organization: Univ. of Southwestern Louisiana Lines: 52   (David Sternlight) writes:  >What follows is my opinion. It is not asserted to be ""the truth"" so no >flames, please.  It comes out of a background of 20 years as a senior >corporate staff executive in two Fortune 50 companies.  >I'd be happy to use a crypto system supplied by the NSA for business, if >they told me it was more secure than DES, and in particular resistant to >attempts by Japanese, French, and other competitive companies and >governments to break.  >I'd be happy to do so even with escrowed keys, provided I was happy about >the bona fides of the escrow agencies (the Federal Reserve would certainly >satisfy me, as would something set up by one of the big 8 accounting firms).  >I'd trust the NSA or the President if they stated there were no trap >doors--I'd be even happier if a committee of independent experts examined >the thing under seal of secrecy and reported back that it was secure.  >I'd trust something from the NSA long before I'd trust something from some >Swiss or anybody Japanese.  A lot of us out here in the hinderland will trust the Japanese before we'll trust the NSA, the President, or those stupid Fortune 50 companies you're so proud of.  >This may seem surprising to some here, but I suggest most corporations would >feel the same way. Most/many/some (pick one) corporations have an attitude >that the NSA is part of our government and ""we support our government"", as >one very famous CEO put it to me one day.  >Just some perspective from another point of view.  And since the Japanese corps aren't part of our ""government/governors"" they may be more trusted out htere than you are.   People are getting tired of this ""be patriotic, do whatever we say without question, and pay more taxes"" attitude that comes from America's political party... or should that be caste?  >--  >David Sternlight         Great care has been taken to ensure the accuracy of >                         our information, errors and omissions excepted.     -- Phil Fraering         |""Seems like every day we find out all sorts of stuff. |Like how the ancient Mayans had televison."" Repo Man   ",sci.crypt
5," (""Paul L. Allen"")Re: Secret algorithm [Re: Clipper Chip and crypto key-escrow] Reply-To:  Organization: Chaos Lines: 76 X-Newsreader: Archimedes ReadNews  -----BEGIN PGP SIGNED MESSAGE-----  In article <>  (Perry E. Metzger) writes:  > In article <1qnupd$>  (Amanda Walker) writes: >  >     (Amanda Walker) >  >     (John Hesse) writes: >    > Oh great. Wonderful news. Nobody can listen in--except the feds.  >  >    Hey, it's better than the status quo. >  >    I am far less worried about ""the feds"" tapping my phone than high school  >    scanner surfers who get their kicks out of eavesdropping on cellular and  >    cordless phone calls. >  > I'm a political dissident. I'm scared shitless of the feds listening > in on my calls. My opinions are the sort that would get me > ""disappeared"" in a slightly less free society -- and who knows what > sort of society we will be in in five or ten years? I have friends who > have had their phones tapped -- none of this is theoretical to me. >  > As for ""its better than the status quo"", well, first of all, you can > get a cryptophone from companies like Cylink today -- and they work > well. In addition, a number of groups are now working on building > software to turn any PC into a privacy enhanced phone right now -- and > they are all working in overdrive mode. >  >    And yes, I'd rather just see all crypto restrictions lifted, but this is at  >    least an incrememental improvement for certain applications... >  > There ARE no crypto restrictions... yet. You can use anything you want > RIGHT NOW. The point is to maintain that right.  The point you all seem to have missed was covered when the UK cellphone scrambling system was discussed.  Incidentally, my MP has responded to my questions on that issue, and it appears that the UK and other `approved' countries will get the secure A5 encryption, and `dodgy' countries will get A5X.  Existing mobile equipment will drop to clear mode when used with A5X systems, but newer equipment will use A5/A5X/clear depending on the capabilities of the base station.  The cops/feds do *not* need to be able to get hold of your private key to listen in to cellular conversations.  Encryption is not end-to-end, but  cellphone to base-station - it *has* to be this way so that cellular users and fixed installations can talk to each other.  For cellular to cellular calls, the transmission is decrypted at the base-station, passed to another base-station and re-encrypted.  The cops/feds can listen to the unscrambled call *provided* they get a warrant to tap into the cellular provider's equipment.  The only reason for wanting a crackable system is so they can listen without having to obtain a warrant.  But, maybe the Clipper system is secure, and they really do need a warrant to get the key out of escrow before they can listen in using a scanner (see above - they don't *have* to go down this route anyway).  I have my doubts, but even if true once they have the key they will *never* again need a warrant to tap into that particular phone whenever they want.  `Well, Judge, it appears he wasn't a drug-dealer after all, so naturally we'll stop listening in'...  You have every reason to be scared shitless.  Take a look at the records of McCarthy, Hoover (J. Edgar, not the cleaner - though they both excelled at sucking) and Nixon.  - --Paul  -----BEGIN PGP SIGNATURE----- Version: 2.2  iQCVAgUBK9IAl2v14aSAK9PNAQEvxgQAoXrviAggvpVRDLWzCHbNQo6yHuNuj8my cvPx2zVkhHjzkfs5lUW6z63rRwejvHxegV79EX4xzsssWVUzbLvyQUkGS08SZ2Eq bLSuij9aFXalv5gJ4jB/hU40qvU6I7gKKrVgtLxEYpkvXFd+tFC4n9HovumvNRUc ve5ZY8988pY= =NOcG -----END PGP SIGNATURE-----  ",sci.crypt
6," (Ian Ameline)Screw the people, crypto is for hard-core hackers & spooks only Organization: C-Set/2 Development, IBM Canada Lab. Disclaimer: This posting represents the poster's views, not those of IBM Lines: 33     I suspect that this clipper thing could backfire on the Gov in a big hurry. I expect that products using these chips will socket them rather than soldering them, since once the keys are handed over by the escrow agencies, the chip is so much garbage, and will need to be replaced. I expect that someone will come along with a pin compatible chip that uses secure encryption -- possibly even disguised so that it's not possible to tell it from the clipper chip until you try to use the 2 backdoor keys.     If I were to manufacture such a chip, as part of my marketing strategy, I would try to subvert one or both escrow agencies either through bribes or industrial espionage -- and then publicize the fact. (doing my best not to be connected with such activities -- which would likely not be legal :-) Publicly discrediting the escrow agencies would go quite far towards creating a market for a secure alternative.    I also believe that someone will reverse engineer the clipper chip, and knowlege of the algorithm will likely be fairly widespread. Any back- doors or weaknesses would further discredit the scheme, and help grow the market demand for a secure alternative.   I believe that the company that provides such an alternative will make few friends in the LE community, but lots of money. I also believe that the government will do it's best to make such plug replacements illegal. I expect that they will see the same success in limiting the availability of such alternatives as they have seen in limiting the availability of certain illicit drugs -- ie. little to none.  Regards, Ian Ameline. (Of course the ramblings above have nothing to do with my employer, nor do I necessarily advocate doing any of the things described here -- I just believe that the events above are likely to take place) ",sci.crypt
7," (William W. Hughes)Re: Once tapped, your code is no good any more. Nntp-Posting-Host: lonestar.utsa.edu Organization: University of Texas at San Antonio Distribution: na Lines: 22  In article <>  (Andrew Molitor) writes: >In article <> > (Timothy C. May) writes: > >>-Tim May, whose sig block may get him busted in the New Regime >                           ^^^^^^^^^^^^^^^^^^ >Isn't this just a little melodramatic?  Not at all. Two weeks ago I registered a concern about some programming that was being conducted by a student organisation here at the University of Texas at San Antonio.  As a result, I was interrogated by the capus police, who also attempted to create a positive-identification file (photo, fingerprints, etc.). I refused to permit this, and filed a complaint with the University administration.  The Vice-President for Business Affairs (the 'boss' of the campus police) stated that he had no interest in the legal/Constitutional implications of those actions.  --  The greatest threat facing the citizens of the United States in the decade of the 90s is the United States Government; at all levels -- Federal, State, Local [All opinions are mine, and I reserve the right to deny them at any time - WWH] ",sci.crypt
8,"Re: Hard drive security for FBI targets Organization: Turing Police Lines: 22   > (Carl Ellison) writes: >For example, if I had a program on my disk which created totally random >files looking like encrypted messages and could demonstrate that the file >in question *could have been* created by that program, then my claim that >it was, in fact, created by that program must stand as true (since I'm >innocent) unless someone can prove me wrong.  HMMM... that brings up a neat idea.    Unfortunately, it's SOOO neat, I think I ought to patent it.  So I can't tell you about it.  Sorry.  :-)  	-Bill  Copyright 1993 William S. Yerazunis (aka Crah the Merciless) All rights reserved, no responsibility taken.       ""I love the smell of flash powder in the morning! It smells like...like theatre"" ",sci.crypt
9," (Steven Bellovin)Re: Off the shelf cheap DES keyseach machine (Was: Re: Corporate acceptance of the wiretap chip) Organization: AT&T Bell Laboratories Lines: 66  In article <>, Graham Toal <> writes: > In article <>  (Steven Bellovin) writes: > :Thousands?  Tens of thousands?  Do some arithmetic, please...  Skipjack > :has 2^80 possible keys. >  > We don't yet know if all 80 bits count.  That doesn't worry me at all; they're not going to cheat at something they can get caught at.  And key size is one of the things that can be verified externally.  Feed lots of random key/input pairs into the chip, then try flipping random key bits, and see what happens to the output.  We already know what *should* happen -- about half the output bits should vary, on average, from a 1-bit key change or input change.  If they were out to build a weak cryptosystem, it might be the case that some of the bits are much less powerful than others, in the sense that they only enter into the encryption very late in the game.  By contrast, DES was designed to use each key bit as early as possible; the 50% output change rate appears as early as round 5.  Again, though, I don't think NSA is going to cheat that crudely; they're likely to get caught.  Remember that they've promised to let a committee of outside experts see the cryptosystem design.  If you assume something DES-like, a biased subkey generation schedule will stick out like a sore thumb.  The committee can and should run lots of tests, and retain the output.  This can be verified later against the chip.  And yes, the civilian community has at least some secure storage facilities that I don't think even NSA can get into without it being noticed, until Fort Meade gets its transporter working again. (Oops -- I don't think I was supposed to talk about that...)  The committee members can even retain secure copies of the code -- in two halves, which you have to XOR together to recover the program...  Seriously, there are, I think, problems with this whole scheme.  But the people who invented it aren't stupid, and they've been in the crypto game and the smoke-and-mirrors game far longer than most of us.  They're not going to lie in ways that can be detected easily, since their credibility is the *only* thing they can use to sell this system.  If they've lied about the civilian committee, no one will believe them about the absence of other back doors.  If they've lied about the key size, no one will believe that they haven't copied the programming disk with the U keys. If they've lied about obvious aspects of the strength of the cryptosystem, no one will believe the escrow agencies aren't in cahoots with them.  That isn't to say that they aren't lying about all those other things anyway.  And I'm certainly not claiming that NSA can't build a cryptosystem with a back door that the committee can't find -- look how long it took for folks to believe that the S-boxes weren't sabotaged.  It's entirely possible that the committee will release an ambiguous report, for just such reasons.  But that's a subtle point (i.e., one you can't explain to a Senator...).  > Anyway, its looking like the > keys and escrow arrangements are smoke and mirrors to cover the way the NSA > can regenerate the key from the transmitted serial number.  I don't like the unit key generation process any better than you do. However -- S1 and S2 are supposed to be under control of the same escrow agents.  If they can't be trusted to keep the seed values secure, they can't be trusted to keep the half-keys secure.  I still don't know if or when S1 and S2 change.  I thought I had seen something about them being constant, but I just reread Denning's technical information post, and it doesn't say anything, one way or the other.   		--Steve Bellovin ",sci.crypt
