,en,gr
0,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Όπως μπορέσατε να διαπιστώσετε, ο περίφημος ""ιός του έτους 2000"" δεν εμφανίσθηκε. Αντιθέτως, οι πολίτες ορισμένων χωρών μας υπήρξαν θύματα φυσικών καταστροφών, οι οποίες ήταν όντως φοβερές."
1,This particularly applies in areas within the EU where distances are great and where a lot of small companies are involved in dismantling vehicles.,Αυτό ισχύει ιδιαίτερα σε εκείνες τις περιοχές της ΕΕ όπου οι αποστάσεις είναι μεγάλες και όπου πολλές μικρές επιχειρήσεις απασχολούνται στον κλάδο της αποσυναρμολόγησης οχημάτων.
2,Of course we have to take account of the competitiveness of the feedingstuffs industry by harmonising provisions for substances authorised before and after 1988.,Είναι βέβαιο ότι πρέπει να προωθήσουμε την ανταγωνιστικότητα της βιομηχανίας ζωοτροφών μέσω της εναρμόνισης των διατάξεων για τις πρόσθετες ύλες που εγκρίθηκαν πριν και μετά από το 1988.
3,"We obviously know that, even within any one country, there are always contradictions between various policies.",Είναι σαφές ότι γνωρίζουμε πως ακόμη και εντός κάποιας συγκεκριμένης χώρας πάντα υπάρχουν αντιφάσεις μεταξύ των διαφόρων πολιτικών.
4,This permits desirable competition in providing these services under a publicly-supported but fully transparent franchise system.,"Αυτό επιτρέπει τον επιθυμητό ανταγωνισμό ως προς την παροχή των συγκεκριμένων υπηρεσιών με ένα σύστημα δικαιόχρησης επιδοτούμενο, αλλά απόλυτα διαφανές."
5,An average productivity increase of 2% requires a growth rate of 3.5% for full employment to be able to be achieved within ten years.,"Όταν έχουμε μέσο ποσοστό αύξησης της παραγωγικότητας 2%, χρειαζόμαστε ένα ποσοστό ανάπτυξης 3,5% για να μπορέσουμε να επιτύχουμε την πλήρη απασχόληση σε διάστημα δέκα ετών."
6,What was the outcome of the meeting held on 4 February between the Commission and the Bulgarian authorities and what is the joint working party working towards?,Ποια είναι τα αποτελέσματα της συνάντησης που έγινε στις 4 Φεβρουαρίου μεταξύ Επιτροπής και βουλγαρικών αρχών και προς ποια κατεύθυνση εργάζεται η μικτή ομάδα εργασίας;
7,We do not have the right to mislead the consumer by using the name 'chocolate' to designate products which are not necessarily made from cocoa.,Δεν έχουμε το δικαίωμα να παραπλανήσουμε τον καταναλωτή χρησιμοποιώντας την ονομασία σοκολάτα για να προσδιορίσουμε προϊόντα που δεν έχουν κατ' ανάγκη παρασκευαστεί από κακάο.
8,The Republic cannot recognise specific 'minorities' or 'communities' : in its view there are only autonomous and free citizens with equal rights.,"Η Δημοκρατία δεν θα μπορούσε να αναγνωρίζει ειδικές ""μειονότητες"" ή ""κοινότητες"" : στα μάτια της υπάρχουν μόνο πολίτες αυτόνομοι, ελεύθεροι και ίσοι από άποψη δικαιωμάτων."
9,The main priority for the budget 2001 must still be to remain active in the fight against unemployment.,"Κεντρική προτεραιότητα του προϋπολογισμού 2001 πρέπει να είναι, όπως ήταν έως σήμερα, να εξακολουθήσουμε να δραστηριοποιούμαστε για την καταπολέμηση της ανεργίας."
10,"The Council' s amendments, which extend the scope of money, cannot be in the interest of the consumer.","Οι τροπολογίες του Συμβουλίου, οι οποίες διευρύνουν το χώρο χρήσης του ηλεκτρονικού χρήματος, δεν είναι προς όφελος του καταναλωτή."
