,en,gr
0,EC-Bulgaria Agreement: participation in the work of the European Monitoring Centre for Drugs and Drug Addiction (vote),EB ir Bulgarijos susitarimas: dalyvavimas Europos narkotikų ir narkomanijos stebėsenos centro veikloje (balsavimas)
1,"I was the rapporteur for the opinion of the Committee on the Internal Market and Consumer Protection and after in-depth deliberations, the committee adopted this position by consensus.",Buvau Vidaus rinkos ir vartotojų apsaugos komiteto šios nuomonės referentas; po išsamių svarstymų komitetas konsensu patvirtino šią poziciją.
2,The Gdańsk Shipyard is a symbol of the historical changes in Poland and also of the major changes that have occurred in Europe and internationally.,"Gdansko laivų statykla - istorinių permainų Lenkijoje, taip pat ir svarbiausių Europoje ir pasaulyje įvykusių pokyčių simbolis."
3,"We should authorise them in Finland and Sweden, which have huge open stretches for the transport of timber.","Turėtume leisti juos naudoti Suomijoje ir Švedijoje, kur didžiuliai atviri plotai, medienai gabenti."
4,"Specifically, there is no scientific evidence to demonstrate the effectiveness of health warnings on labels in terms of preventing abusive consumption.","Tiksliau, nėra konkrečių duomenų, kurie įrodytų perspėjamųjų etikečių dėl sveikatos veiksmingumą atliekant piktnaudžiavimo alkoholiu prevenciją."
5,"Instead of trading too much liberty for security, let us look at what really works: targeted investigations and intelligence-led policing.","Vietoj to, kad atiduotume per daug laisvės už saugumą, verčiau atkreipkime dėmesį į tai, kas iš tikrųjų veikia: tiksliniai tyrimai ir policijos darbas, remiantis žvalgybine informacija."
6,"A lack of confidence in the market has damaged even attractive assets, which ought not to have been subject to the downward price correction.","Pasitikėjimo trūkumas rinkose pakenknet patraukliam turtui, kurio neturėjo paveikti neigiama kainų korekcija."
7,"We have not taken a position on how the UN Security Council should deal with the situation in Burma, offering no support for a resolution.","Turime išreikšti savo poziciją dėl to, kaip JTO Saugumo Taryba turi spręsti situaciją Birmoje ir jokiu būdu neparemti susiskaidymo idėjos."
8,in writing. - (PL) I voted in favour of adoption of the report on the functioning of the human rights dialogues and consultations on human rights with third countries.,raštu. - (PL) Balsavau už pranešimą dėl dialogų ir konsultacijų žmogaus teisių klausimais su trečiosiomis šalimis veiksmingumo.
9,"Therefore, it is 'yes' to renewable sources but 'no' to a militant attack without factual debate and arguments.","Todėl ""taip"" atsinaujinančios energijos šaltiniams, tačiau ""ne"" karingiems reikalavimams ir faktais nepagrįstoms diskusijoms ir argumentams."
10,"I ask Mrs Fischer Boel to support this, as it would encourage further reductions and help restore a balance in the market.","Prašau Fischer Boel pritarti šiai nuostatai, nes tai skatintų daugiau sumažinimų ir padėtų grąžinti pusiausvyrą rinkoje."
11,"Parliament was able to stand up to the Member States and the rail companies for the rights of passengers, which is a huge success for the citizens of the EU.",Parlamentas sugebėjo pasipriešinti valstybėms narėms ir geležinkelių bendrovėms ir apgynkeleivių teises - tai yra didelsėkmES piliečiams.
12,"Member of the Commission. - First of all, I think that everybody who watched the devastating forest fires in Greece on the television wondered what would happen afterwards with the damaged areas.","Komisijos narė. - Pirmiausia, manau, kad kiekvienam, stebėjusiam per televiziją Graikijos miškus siaubiančius gaisrus, kilo klausimas, kas bus toliau žalą patyrusiose vietovėse."
13,"In my opinion, we should bear this aspect in mind when debating the establishment of our common foreign policy on energy.","Mano nuomone, turime turėti omenyje šį aspektą, svarstydami mūsų bendros užsienio politikos energetikos srityje sukūrimą."
14,"For this very reason, whether we are dealing with illegal or legal migration, we must not go down the path of a one-size-fits-all approach.","Dėl to, ar užsiiminėtume nelegalia ar legalia migracija, neturime eiti vienodų sąlygų požiūrio keliu."
15,"Under the auspices of the Polish Parliament an investigation was also carried out by a permanent committee, on which the opposition is represented.","Remiamas Lenkijos parlamento nuolatinis komitetas, kuriam atstovauja opozicija, atliko tyrimą."
16,"In my view, both reports - the Roithová report and the Lehtinen report - give important indications of the deficits that still exist.",Mano požiūriu abu pranešimai - Zuzanos Roithovos ir Lasse Lehtineno - rodo svarbius vis dar esamų trūkumų ženklus.
17,"What is new is that 255 pages of changes have now been inserted in 2 800 pages of treaty, making the text unreadable for everyone but nerds - again, what scheming, lousy behaviour.","Nauja tai, kad padaryta net 255 puslapių pakeitimų 2 800 sutarties puslapių, todėl tekstas tampa įskaitomas tik visiškoms nuobodoms - vėlgi klastingo, bjauraus elgesio pavyzdys."
18,"on behalf of the UEN Group. - (PL) Mr President, I was a member of the five-man delegation from the European Parliament which spent a couple of important days in the Palestinian Autonomous Area.","UEN frakcijos vardu. - (PL) Pone pirmininke, man teko būti penkių žmonių Europos Parlamento delegacijos nariu ir porą dienų praleisti Palestinos autonominėje teritorijoje."
19,It comprised provisions on cooperation between Philip Morris and the European Union in tracking and tracing cigarettes.,"Ji apėmnuostatas dėl ""Philip Morris"" ir Europos Sąjungos bendradarbiavimo sekant cigaretes."
20,"Transport infrastructure is often the decisive factor for the location of regional investment, tourism development and rapid transportation of goods.","Susisiekimo infrastruktūra dažnai yra esminis veiksnys parenkant regioninių investicijų vietą, sprendžiant dėl turizmo plėtros ir operatyvaus prekių pervežimo."
21,The Commission would prefer Member States to have a margin of flexibility and set the appropriate width for buffer zones in line with their own geographical features.,"Komisija norėtų, kad valstybės narės turėtų lankstumo ribą ir nustatytų atitinkamą apsauginių zonų plotį, atsižvelgdamos į savo geografines ypatybes."
22,"Debates on cases of breaches of human rights, democracy and the rule of law (announcement of motions for resolutions tabled): see Minutes","Diskusijos dėl žmogaus teisių, demokratijos ir teisės pažeidimo atvejų (numatytų rezoliucijų projektų paskelbimas): žr. Posėdžio protokolai"
23,"in writing. - (PT) In March 2007, France requested the mobilisation of the EGF in respect of the redundancies of 1 345 workers of Renault SA and 1 057 workers of Peugeot SA and their suppliers.","raštu. - (PT) 2007 m. kovą Prancūzija paprašsutelkti EGF dėl netekusių darbo 1345 ""Renault"" SA ir 1057 ""Peugeot"" SA darbuotojų ir jų tiekėjų."
24,"This also applies to further acknowledgement of Parliament's interests, as expressly - and correctly - called for by the Committee on Development.","Tai taip pat taikytina Parlamento interesų pripažinimui, ką aiškiai ir teisingai paragino padaryti Vystymosi komitetas."
25,"The success of the anti-smoking campaign shows us that multinational companies, such as the tobacco companies, are not unbeatable.","Prieš rūkymą nukreiptos kampanijos sėkmrodo, kad tarptautinės bendrovės, tokios kaip tabako bendrovės, nėra nepalaužiamos."
26,"This requires, as we have always found, special arrangements to facilitate cross-border cooperation and local border traffic.","Jam reikalinga speciali tvarka, kuri palengvintų pasienio bendradarbiavimą ir judėjimą per vietos sieną."
27,Turkey continues to occupy a Member State of the European Union: 40% of Cypriot territory is under Turkish military occupation.,Turkija tebėra okupavusi Europos Sąjungos valstybę narę: 40 proc. Kipro teritorijos yra okupavusi Turkijos kariuomenė.
28,The Commission also makes use of the humanitarian aid instrument managed by ECHO to fund humanitarian demining efforts.,"Komisija taip pat naudoja humanitarinės pagalbos priemonę, numatytą pagal ECHO finansuoti humanitarinius išminavimo veiksmus."
29,"rapporteur. - (DE) Madam President, now that Mrs Lulling has addressed me directly, may I say that just because others are doing things badly, that should not be a role model for us.","pranešėjas. - (DE) Gerb. pirmininke, dabar, kai A. Lulling kreipėsi į mane tiesiogiai, norėčiau pasakyti, kad jeigu kiti dirba blogai, mes neturėtume imti iš jų pavyzdžio."
30,Every effort must be made to establish their fate and help bring them safely back to their loved ones.,Turi būti dedamos visos pastangos juos išlaisvinti ir saugiai sugrąžinti gyvus.
31,I also believe that Mr Liese has further improved it. This is a classic case of the internalising of external costs.,"Pirmininke, visada įdomu išgirsti, kaip kai kurie Parlamento nariai atsisako priimti tikrovę.Mano nuomone, Komisijos pasiūlymas geras.Taip pat manau, kad P. Liese jį dar pagerino.Tai - klasikinis išorinių kainų perėmimo atvejis."
32,"I voted in favour of the report, because recently the candidate for Prime Minister of my country declared that public television should be weakened.","Aš balsavau už pranešimą, nes neseniai mano šalies kandidatas į Ministrus Pirmininkus pareiškė, kad visuomenintelevizija turėtų būti silpninama."
33,"In reply to your question I can assure you that we do have emergency response measures, including those for post-conflict periods, and that we are trying to implement them.","Atsakydamas į jūsų klausimą galiu užtikrinti, kad mes neturime skubios pagalbos priemonių, įskaitant ir tas, kurios taikomos konfliktą patyrusiems regionams, tačiau stengiamės jas sukurti."
34,"Economic progress is the prerequisite for social security - not the other way round, as we have heard it suggested in a few speeches in this House.","Ekonominpažanga yra būtina sąlyga socialiniam saugumui, bet ne atvirkščiai, kaip išgirdome teigiant keliuose pasisakymuose."
35,I support amendments to the effect that those applying equal or higher standards must be free to do so.,"Aš palaikau tuos pakeitimus, kuriuose siūloma priverstinai netaikyti direktyvos nuostatų toms šalims, kuriose jau galioja direktyvoje reikalaujamą dirvožemio apsaugos lygį atitinkantys ar jį viršijantys standartai."
36,"At the present time, Ukraine pays its debts to Russia with gas supplies from its own underground deposits.",Šiuo metu Ukraina moka Rusijai skolas tiekdama jai dujas iš savo požeminių telkinių.
